n.id,n.firstname,n.lastname,n.birthyear,n.deathyear,n.birthplace,n.deathplace,n.sex,n.numCities,n.numCountries,n.numVenues,n.country,n.collective,n.ulan,n.wikidata
"1,""""""William Bernard"""""",""""""Adeney"""""",1878,1966,""""""London"""""",""""""London"""""",""""""M"""""",2,1,5,""""""GB"""""",null,""""""500075501"""""",""""""Q4892888"""""""
"2,""""""Peter"""""",""""""Alma"""""",1886,1969,""""""Medan"""""",""""""Amsterdam"""""",""""""M"""""",null,null,null,""""""NL"""""",null,""""""500116696"""""",""""""Q2318919"""""""
"3,""""""Natan"""""",""""""Alt'man"""""",1889,1970,""""""Vinnitsa"""""",""""""Saint Petersburg"""""",""""""M"""""",1,1,1,""""""RU"""""",null,""""""500022846"""""",""""""Q1358816"""""""
"4,""""""Cuno"""""",""""""Amiet"""""",1868,1961,""""""Solothurn"""""",""""""Seeberg"""""",""""""M"""""",7,4,7,""""""CH"""""",null,""""""500005153"""""",""""""Q566797"""""""
"5,""""""Vassily"""""",""""""Kandinsky"""""",1866,1944,""""""Moscow"""""",""""""Neuilly-sur-Seine"""""",""""""M"""""",12,8,13,""""""RU"""""",null,""""""500021093"""""",""""""Q61064"""""""
"6,""""""Kazimir"""""",""""""Malevich"""""",1878,1935,""""""Kiev"""""",""""""Saint Petersburg"""""",""""""M"""""",1,1,1,""""""RU"""""",null,""""""500004959"""""",""""""Q130777"""""""
"7,""""""Piet"""""",""""""Mondrian"""""",1872,1944,""""""Amersfoort"""""",""""""New York"""""",""""""M"""""",2,1,2,""""""NL"""""",null,""""""500004972"""""",""""""Q151803"""""""
"8,""""""Alexander"""""",""""""Archipenko"""""",1887,1964,""""""Kiev"""""",""""""New York"""""",""""""M"""""",3,3,3,""""""US"""""",null,""""""500022523"""""",""""""Q157578"""""""
"9,""""""Hans"""""",""""""Arp"""""",1886,1966,Strasburg"""""",""""""Basel"""""",""""""M"""""",null,null,null,""""""FR"""""",null,""""""500031000"""""",null"
"10,""""""Lawrence"""""",""""""Atkinson"""""",1873,1931,""""""Manchester"""""",""""""Paris"""""",""""""M"""""",null,null,null,""""""GB"""""",null,""""""500002487"""""",null"
"11,""""""Léon"""""",""""""Bakst"""""",1866,1924,""""""Hrodna"""""",""""""Paris"""""",""""""M"""""",null,null,null,""""""RU"""""",null,""""""500009524"""""",null"
"12,""""""Hans"""""",""""""Arp"""""",1886,1966,""""""Strasburg"""""",""""""Basel"""""",""""""M"""""",2,1,2,""""""FR"""""",null,""""""500031000"""""",""""""Q153739"""""""
"13,""""""Lawrence"""""",""""""Atkinson"""""",1873,1931,""""""Manchester"""""",""""""Paris"""""",""""""M"""""",1,1,2,""""""GB"""""",null,""""""500002487"""""",""""""Q4072108"""""""
"14,""""""Léon"""""",""""""Bakst"""""",1866,1924,""""""Hrodna"""""",""""""Paris"""""",""""""M"""""",6,5,4,""""""RU"""""",null,""""""500009524"""""",""""""Q214666"""""""
"15,""""""Giacomo"""""",""""""Balla"""""",1871,1958,""""""Turin"""""",""""""Rome"""""",""""""M"""""",10,7,7,""""""IT"""""",null,""""""500014876"""""",""""""Q368254"""""""
"16,""""""Vladimir (double`"""""",""""""Baranoff-Rossiné"""""",1888,1944,""""""Kherson"""""",""""""Auschwitz"""""",""""""M"""""",null,null,null,""""""UA"""""",null,""""""500017903"""""",""""""Q573654"""""""
"17,""""""Ernst"""""",""""""Barlach"""""",1870,1938,""""""Wedel"""""",""""""Rostock"""""",""""""M"""""",1,1,1,""""""DE"""""",null,""""""500013940"""""",""""""Q156890"""""""
"18,""""""Varvara"""""",""""""Stepanova"""""",1894,1958,""""""Kaunas"""""",""""""Moscow"""""",""""""F"""""",null,null,null,""""""RU"""""",null,""""""500095268"""""",""""""Q374948"""""""
"19,""""""Paul"""""",""""""Baum"""""",1859,1932,""""""Meissen"""""",""""""San Gimignano"""""",""""""M"""""",4,1,5,""""""DE"""""",null,""""""500032885"""""",""""""Q541671"""""""
"20,""""""Willi"""""",""""""Baumeister"""""",1889,1955,""""""Stuttgart"""""",""""""Stuttgart"""""",""""""M"""""",null,null,null,""""""DE"""""",null,""""""500022627"""""",""""""Q707911"""""""
"21,""""""Aubrey Vincent"""""",""""""Beardsley"""""",1872,1898,""""""Brighton"""""",""""""Menton"""""",""""""M"""""",null,null,null,""""""GB"""""",null,""""""500032068"""""",""""""Q272566"""""""
"22,""""""Vladimir Georgievich"""""",""""""Bekhteev"""""",1878,1971,null,null,""""""M"""""",null,null,null,""""""RU"""""",null,""""""500017773"""""",null"
"23,""""""Max"""""",""""""Beckmann"""""",1884,1950,""""""Leipzig"""""",""""""New York"""""",""""""M"""""",5,3,5,""""""DE"""""",null,""""""500024106"""""",""""""Q164683"""""""
"24,""""""Vanessa"""""",""""""Bell"""""",1879,1961,""""""Kensington"""""",""""""West Sussex"""""",""""""F"""""",2,2,4,""""""GB"""""",null,""""""500008308"""""",""""""Q255294"""""""
"25,""""""George Wesley"""""",""""""Bellows"""""",1882,1925,""""""Columbus, Ohio"""""",""""""New York"""""",""""""M"""""",1,1,1,""""""US"""""",null,""""""500003261"""""",""""""Q167132"""""""
"26,""""""Vincenc"""""",""""""Beneš"""""",1883,1979,""""""Lišice"""""",""""""Prague"""""",""""""M"""""",1,1,1,""""""CZ"""""",null,""""""500026383"""""",""""""Q2526443"""""""
"27,""""""Alexandre"""""",""""""Benois"""""",1870,1960,""""""Saint Petersburg"""""",""""""Paris"""""",""""""M"""""",3,3,3,""""""RU"""""",null,""""""500009577"""""",""""""Q319861"""""""
"28,""""""Róbert"""""",""""""Berény"""""",1887,1953,""""""Budapest"""""",""""""Budapest"""""",""""""M"""""",1,1,2,""""""HU"""""",null,""""""500010168"""""",""""""Q718722"""""""
"29,""""""Hendrik Petrus"""""",""""""Berlage"""""",1856,1934,""""""Amsterdam"""""",""""""Hague, The"""""",""""""M"""""",null,null,null,""""""NL"""""",null,""""""500010705"""""",""""""Q318816"""""""
