a.id,a.firstname,a.lastname,e.id,e.title,count(r);
"1,""""""William Bernard"""""",""""""Adeney"""""",489,""""""Second Post-Impressionist Exhibition. British, French and Russian Artists"""""",1";
"1,""""""William Bernard"""""",""""""Adeney"""""",618,""""""Exhibition of the Camden Town Group and Others"""""",1";
"1,""""""William Bernard"""""",""""""Adeney"""""",650,""""""The First Exhibition of Works by Members of The London Group"""""",1";
"1,""""""William Bernard"""""",""""""Adeney"""""",680,""""""Twentieth Century Art. A Review of Modern Movements"""""",1";
"1,""""""William Bernard"""""",""""""Adeney"""""",720,""""""The Second Exhibition of Works by Members of the London Group"""""",1";
"1,""""""William Bernard"""""",""""""Adeney"""""",724,""""""Vorticist Exhibition"""""",1";
"1,""""""William Bernard"""""",""""""Adeney"""""",729,""""""Third Exhibition of Works by Members of the London Group"""""",1";
"2,""""""Peter"""""",""""""Alma"""""",716,""""""Tentoonstelling Alma, Le Fauconnier en Mondrian"""""",1";
"2,""""""Peter"""""",""""""Alma"""""",462,""""""Internationale Kunstausstellung des Sonderbundes Westdeutscher Kunstfreunde und Künstler zu Cöln"""""",1";
"2,""""""Peter"""""",""""""Alma"""""",490,""""""Moderne Kunst Kring (Cercle de l'art moderne). Ouvrages de Peinture, Sculpture, Dessin, Gravure"""""",1";
"2,""""""Peter"""""",""""""Alma"""""",609,""""""Moderne Kunst Kring (Cercle de l'Art Moderne)"""""",1";
"3,""""""Natan"""""",""""""Alt'man"""""",602,""""""Постоянная Выставка Современнаго Искусства"""""",1";
"3,""""""Natan"""""",""""""Alt'man"""""",615,""""""Мир Искусства"""""",1";
"3,""""""Natan"""""",""""""Alt'man"""""",523,""""""Мир Искусства"""""",1";
"3,""""""Natan"""""",""""""Alt'man"""""",536,""""""Мир искусства"""""",1";
"3,""""""Natan"""""",""""""Alt'man"""""",1302,""""""Выставка Картин \""""Мир Искусства\"""""""""",1";
"3,""""""Natan"""""",""""""Alt'man"""""",1481,""""""Выставка Графических Искусств"""""",1";
"3,""""""Natan"""""",""""""Alt'man"""""",1482,""""""Мир Искусства. Выставка картин"""""",1";
"3,""""""Natan"""""",""""""Alt'man"""""",586,""""""Juryfreie Kunstschau. 4. Ausstellung"""""",1";
"3,""""""Natan"""""",""""""Alt'man"""""",712,""""""Выставка картин в пользу лазарета деятелей искусства"""""",1";
"3,""""""Natan"""""",""""""Alt'man"""""",722,""""""Выставка Живописи"""""",1";
"3,""""""Natan"""""",""""""Alt'man"""""",732,""""""Последняя футуристическая выставка картин 0,10 (Ноль-десять)"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",441,""""""Ausstellung von Künstlergruppe Brücke"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",909,""""""I. Ausstellung des Modernen Bundes"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",992,""""""IX. Internationale Kunstausstellung"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",447,""""""Stedelijke Internationale Tentoonstelling Van Kunstwerken Van Levende Meesters"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",1338,""""""VI. Serie"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",52,""""""Elfte Ausstellung der Berliner Secession"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",381,""""""Kunst unserer Zeit in Cölner Privatbesitz"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",462,""""""Internationale Kunstausstellung des Sonderbundes Westdeutscher Kunstfreunde und Künstler zu Cöln"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",464,""""""Porträt-Ausstellung (Werke zeitgenössischer Deutscher Maler)"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",472,""""""Moderner Bund. [II. Ausstellung]"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",485,""""""Neue Kunst. Erste Gesamt-Ausstellung"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",225,""""""Internationale Kunstschau Wien"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",563,""""""VI. Kollektiv-Ausstellung / Amiet und Giacometti"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",96,""""""Dreizehnte Ausstellung der Berliner Secession"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",1483,""""""Ausstellung des Verbandes der Kunstfreunde in den Ländern am Rhein"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",280,""""""Zwanzigste Ausstellung der Berliner Secession"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",645,""""""Internationale Ausstellung in der Kunsthalle Bremen"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",292,""""""Svájci művészek (Société des Peintres Sculpteurs et Architectes Suisses) kiállítása"""""",1";
"4,""""""Cuno"""""",""""""Amiet"""""",312,""""""Ausstellung der K. G. \""""Brücke\"""""""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",311,""""""Ausstellung des Sonderbundes Westdeutscher Kunstfreunde und Künstler"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",314,""""""Neue Künstlervereinigung München E.V., Turnus 1910-1911. [II. Ausstellung]"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",48,""""""XXVI. Ausstellung der Vereinigung Bildender Künstler Österreichs Secession Wien"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",52,""""""Elfte Ausstellung der Berliner Secession"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",414,""""""Выставка Картин Общества Художников \""""Бубновый Валет\"""""""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",422,""""""Die zweite Ausstellung der Redaktion. Der Blaue Reiter. Schwarz-Weiss"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",722,""""""Выставка Живописи"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",747,""""""Салон. Интернациональная выстака картин, скульптуры, гравюры и рисунков"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",757,""""""Салон. Интернациональная выставка картин, скульптуры, гравюры и графики"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",327,""""""Бубновый Валет"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",133,""""""Vierzehnte Ausstellung der Berliner Secession, Zeichnende Künste"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",140,""""""XV Выставка Картин Московскаго Товарищества Художников"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",1036,""""""Der Blaue Reiter"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",30,""""""Salon d'Automne. 3e Exposition"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",1088,""""""Der Sturm. Erste Ausstellung. Der Blaue Reiter. Franz Flaum. Oskar Kokoschka. Expressionisten"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",1095,""""""Vente Aux Enchères Publiques Des Tableaux, Études, Aquarelles, Pastels, Dessins, Eaux-Fortes, Gravures, Sculpture, Objets D'Art"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",65,""""""Dritte Ausstellung des Deutschen Künstlerbundes"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",67,""""""Kunstausstellung Wertheim"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",68,""""""Salon d'Automne. 4e Exposition"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",1432,""""""Салон 2. Международная Художественная Выставка"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",931,""""""XIII. Jahrgang. Winter 1910/11. VI. Ausstellung. Neue Künstler-Vereinigung München"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",956,""""""[IX. Jahrgang. III. Ausstellung. Schwarz-Weiss Ausstellung der Berliner Secession]"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",554,""""""International Exhibition of Modern Art [Armory Show]"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",557,""""""A Művészház nemzetközi Postimpresszionista kiállitása"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",519,""""""A Futuristák és Expressionisták kiállitása"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",521,""""""Die Neue Kunst"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",534,""""""International Exhibition of Modern Art [Armory Show]"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",591,""""""Der Sturm. Erster Deutscher Herbstsalon"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",602,""""""Постоянная Выставка Современнаго Искусства"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",609,""""""Moderne Kunst Kring (Cercle de l'Art Moderne)"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",625,""""""Expressionistische Ausstellung / Die neue Malerei"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",75,""""""Zwölfte Kunstausstellung der Berliner Secession. Zeichnende Künste"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",80,""""""XIV Выставка Картин Московского Товарищества Художников"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",1487,""""""Union Internationale des Beaux-Arts et des Lettres. Deuxième Congrès. Le musée du Peuple"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",195,""""""Салон 1909"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",633,""""""Kreis für Kunst Köln im Deutschen Theater, Erste Veranstaltung: Kandinsky-Ausstellung im Foyer."""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",656,""""""Woodcut Prints [Mokuhanga tenrankai mokuroku]"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",235,""""""The London Salon of the Allied Artists' Association: 2nd year"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",381,""""""Kunst unserer Zeit in Cölner Privatbesitz"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",393,""""""Neue Secession Berlin. IV. Ausstellung. Gemälde."""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",400,""""""Der Blaue Reiter. Die Erste Ausstellung der Redaktion"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",3,""""""2. Deutsche Künstlerbund Ausstellung"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",15,""""""XII-я Выставка Картин Московскаго Т-ва Художников в Москве 1905 г."""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",585,""""""Neue Kunst. II.Gesamtausstellung"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",462,""""""Internationale Kunstausstellung des Sonderbundes Westdeutscher Kunstfreunde und Künstler zu Cöln"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",472,""""""Moderner Bund. [II. Ausstellung]"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",481,""""""Der Sturm. Kandinsky Kollektiv-Ausstellung. 1902-1912. [Siebente Ausstellung]"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",482,""""""Kandinsky. Kollektiv-Ausstellung. 1902-1912"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",485,""""""Neue Kunst. Erste Gesamt-Ausstellung"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",246,""""""Neue Künstlervereinigung München E.V., Turnus 1909-1910"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",567,""""""International Exhibition of Modern Art [Armory Show]"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",675,""""""De 3de Internationale Jury-Vrije Tentoonstelling. Vereeniging van Beeldende Kunstnaars"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",1473,""""""Современная живопись."""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",1479,""""""Салон. Интернациональная выставка картин, скульптуры, гравюры и графики"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",758,""""""Салон. Интернациональная выставка картин, скульптуры, гравюры и рисунков"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",801,""""""Der Blaue Reiter. Gemälde-Ausstellung"""""",1";
"5,""""""Vassily"""""",""""""Kandinsky"""""",807,""""""Sammlung Walden. Gemälde, Zeichnungen, Plastiken"""""",1";
"6,""""""Kazimir"""""",""""""Malevich"""""",848,""""""Выставка картин, скульптуры, графики, индустрии \""""Современная Живопись\"""""""""",1";
"6,""""""Kazimir"""""",""""""Malevich"""""",721,""""""1-ая Футуристическая Выставка картин Трамвай В"""""",1";
"6,""""""Kazimir"""""",""""""Malevich"""""",732,""""""Последняя футуристическая выставка картин 0,10 (Ноль-десять)"""""",1";
"6,""""""Kazimir"""""",""""""Malevich"""""",422,""""""Die zweite Ausstellung der Redaktion. Der Blaue Reiter. Schwarz-Weiss"""""",1";
"6,""""""Kazimir"""""",""""""Malevich"""""",327,""""""Бубновый Валет"""""",1";
"6,""""""Kazimir"""""",""""""Malevich"""""",351,""""""2-я Выставка картин общества художников \""""Союз Молодежи\"""""""""",1";
"6,""""""Kazimir"""""",""""""Malevich"""""",140,""""""XV Выставка Картин Московскаго Товарищества Художников"""""",1";
"6,""""""Kazimir"""""",""""""Malevich"""""",80,""""""XIV Выставка Картин Московского Товарищества Художников"""""",1";
"6,""""""Kazimir"""""",""""""Malevich"""""",192,""""""XVI Выставка Картин Московского Товарищества Художников"""""",1";
"6,""""""Kazimir"""""",""""""Malevich"""""",1480,""""""2-я Выставка Картин \""""Современная Живопись\"""" и Коллекции Гемм"""""",1";
"6,""""""Kazimir"""""",""""""Malevich"""""",629,""""""Выставка Картин Общества Художников \""""Бубновый Валет\"""""""""",1";
"6,""""""Kazimir"""""",""""""Malevich"""""",404,""""""Союз Молодежи"""""",1";
"6,""""""Kazimir"""""",""""""Malevich"""""",560,""""""Выставка Картин Группы Художников \""""Мишень\"""""""""",1";
"6,""""""Kazimir"""""",""""""Malevich"""""",252,""""""XVII Выставка Картин Московскаго Товарищества Художников"""""",1";
