evaluation_new_final
Question;Answer;Source dataset;Source column;ID
How many exhibitions did Kandinsky have?;57;artists_exhibited_exhibitions1000;sum of all where a.lastname = Kandinsky;5
In how many countries did van Gogh exhibit?;7;artists1000;n.numCountries;401
"In how many exhibitions connected to ""Der Sturm"" did Hans Arp exhibit?";4;artists_exhibited_exhibitions1000;"e.title that contains ""Der Sturm"" where a.lastname = Arp and a.firstname = Hans";9
In how many exhibitions did Ernst Barlach and Paul Baum exhibit together?;3;artists_exhibited_exhibitions1000;sum of all rows where e.title is the same for both artists;"17; 19"
In which exhibition did Otto Gutfreund and Alexei Jawlensky exhibit together?;Der Sturm. Neunzehnte Ausstellung. Expressionisten / Kubisten / Futuristen;artists_exhibited_exhibitions1000;where e.title is the same for both artists;"152; 173"
Did Arne Kavli, Per Krohg, and Henrik Louis Lund exhibit together? If yes, what was the title of the exhibitions?;"Yes, in ""Hagenbund. Norwegische Künstler""";artists_exhibited_exhibitions1000;where e.title is the same for all artists;"180; 195; 230"
"How many artists exhibited in the exhibition ""Exhibition of the Camden Town Group and Others""?";16;artists_exhibited_exhibitions1000;"sum of rows where e.title is ""Exhibition of the Camden Town Group and Others""";"1; 31; 36; 93; 101; 105; 138; 139; 144; 223; 279; 280; 282; 314; 360; 417"
Did Wilhelm Schmurr or Wilhelm Schocken exhibit in more cities?;Wilhelm Schmurr;artists1000;compare n.numCities for both;"926; 927"
Did Hermann Münchhausen and William Bernard Adeney exhibit together? If yes, in which exhibitions?;No;artists_exhibited_exhibitions1000;where e.title is the same for both artists;"497; 1"
Were David Bomberg and Edward Burne-Jones born in the same city? If yes, which one?;Yes, in Birmingham;artists1000;compare n.birthplace for both;"36; 50"
Did Giacomo Balla die in the city he was born in?;No;artists1000;compare n.birthplace and n.deathplace;15
Is there an artist who was born in 1878 and died in 1966? If yes, who was it?;Yes, William Bernard Adeney;artists1000;rows where n.birthplace = 1878 and n.deathplace = 1966;1
Where did Pierre Abattuci die?;Ixelles;artists1000;n.deathplace;522
Did Georg Vilhelm Pauli and Max Pechstein have the same nationality?;No;artists1000;n.country;"294; 295"
Who was born earlier, Christian Rohlfs or Auguste Rodin?;Auguste Rodin;artists1000;compare n.birthyear;"325; 323"
Who got older, Joseph Stella or John Sten?;Joseph Stella;artists1000;compare n.birthyear and n.deathyear;"376; 377"
Who created the artwork “Cartoon for Tanya”?;Jasper Johns;artworkCreativity;description;cartoon-for-tanya-jasper-johns-1972.jpg
When was the artwork “Boy and Bunnie” created?;1991;artworkCreativity;description;boy-and-bunnie-lisa-yuskavage-1991.jpg
Which painting depicts a lobster fisherman?;“The Lobsterman,”;artworkCreativity;description;The-Lobsterman-Andrew-Wyeth-.jpg
What are the measurements of the artwork “Before the Blitz”?;28 by 31.5 centimeters;artworkCreativity;description;before-the-blitz-paul-klee-1923.jpg
